"individual_director","content_count","type_count_of_director"
"Marcus Raboy","16","2"
"Anurag Kashyap","9","2"
"Ryan Polito","8","2"
"Quentin Tarantino","8","2"
"Priyadarshan","7","2"
"Michael Simon","6","2"
"Rathindran R Prasad","5","2"
"Abhishek Chaubey","5","2"
"Ken Burns","5","2"
"Joe Berlinger","5","2"
"John Paul Tremblay","5","2"
"Robb Wells","5","2"
"Oliver Stone","5","2"
"Mike Smith","5","2"
"Brad Anderson","4","2"
"David Ayer","4","2"
"Karthik Subbaraj","4","2"
"Vikramaditya Motwane","4","2"
"Hiroyuki Seshita","4","2"
"Alastair Fothergill","4","2"
"Mike Flanagan","4","2"
"Stan Lathan","4","2"
"B. V. Nandini Reddy","4","2"
"Kobun Shizuno","3","2"
"BB Sasore","3","2"
"Bejoy Nambiar","3","2"
"Cosima Spender","3","2"
"Elaine McMillion Sheldon","3","2"
"Eli Roth","3","2"
"Ifa Isfansyah","3","2"
"Jalil Lespert","3","2"
"Jared Hess","3","2"
"Julien Leclercq","3","2"
"Kemi Adetiba","3","2"
"Manolo Caro","3","2"
"Obi Emelonye","3","2"
"Tiller Russell","3","2"
"Jill Bauer","2","2"
"Vasan Bala","2","2"
"Jerry Seinfeld","2","2"
"Kim Seong-hun","2","2"
"Jay Chandrasekhar","2","2"
"Kyran Kelly","2","2"
"Luis Alfaro","2","2"
"Malik Nejer","2","2"
"Alban Teurlai","2","2"
"Jani Lachauer","2","2"
"Mark Tonderai","2","2"
"Masaaki Yuasa","2","2"
"Mateo Gil","2","2"
"Houda Benyamina","2","2"
"Gary Howsam","2","2"
"Faris Godus","2","2"
"Noam Murro","2","2"
"Weica Wang","2","2"
"Estela Renner","2","2"
"Olivier Megaton","2","2"
"Oriol Paulo","2","2"
"Patricia Font","2","2"
"Daniel Kontur","2","2"
"Dan Forrer","2","2"
"Rashida Jones","2","2"
"Bunmi Ajakaiye","2","2"
"Billy Corben","2","2"
"Robert Kenner","2","2"
"Ronna Gradus","2","2"
"Andrew Tan","2","2"
"Sarjun","2","2"
"Sion Sono","2","2"
"Soumendra Padhi","2","2"
"Alessandro Angulo","2","2"
"Steven Bognar","2","2"
"Tensai Okamura","2","2"
"Thierry Demaizière","2","2"
"Thomas Astruc","2","2"
"Tig Notaro","2","2"
"Ziad Doueiri","2","2"
"Tosin Coker","2","2"
"John Dower","2","2"
"Joel Gallen","2","2"
"Julia Reichert","2","2"
"Tsutomu Mizushima","2","2"
"Justin Webster","2","2"
