"countries","content_count","movie_count","tv_show_count","status","movie_percentage","tv_show_percentage"
"United States","3690","2752","938","Above_avg_count","74.58","25.42"
"India","1046","962","84","Above_avg_count","91.97","8.03"
"United Kingdom","806","534","272","Above_avg_count","66.25","33.75"
"Canada","445","319","126","Above_avg_count","71.69","28.31"
"France","393","303","90","Above_avg_count","77.10","22.90"
"Japan","318","119","199","Above_avg_count","37.42","62.58"
"Spain","232","171","61","Above_avg_count","73.71","26.29"
"South Korea","231","61","170","Above_avg_count","26.41","73.59"
"Germany","226","182","44","Above_avg_count","80.53","19.47"
"Mexico","169","111","58","Above_avg_count","65.68","34.32"
