"rating","content_count","percentage_of_rating_to_overall"
"TV-MA","3207","36.44732355949539720400"
"TV-14","2160","24.54824411864984657300"
"TV-PG","862","9.79656779179452210500"
"R","799","9.08057733833390158000"
"PG-13","490","5.56881463802704852800"
"TV-Y7","334","3.79588589612455960900"
"TV-Y","307","3.48903284464143652700"
"PG","287","3.26173428798727128100"
"TV-G","220","2.50028412319581770700"
"**Not Rated**","83","0.94328901011478577100"
"G","41","0.46596204114103875400"
"TV-Y7-FV","6","0.06818956699624957400"
"NC-17","3","0.03409478349812478700"
